_id,NAME,COUNTRY,DAY,MONTH,YEAR,ROUTE,NAME OF THE TEAM,LEADER
4017,MS. KANTA DEVI,INDIA,21,5,2013,,"""",""""
4690,MR. PASANG LAKPA SHERPA,NEPAL,21,5,2016,,"""",""""
4871,MR. JANFBU SHERPA,NEPAL,20,5,2016,,"""",""""
3407,MR. DAWA GYALJE SHERPA,NEPAL,25,5,2011,,"""",""""
2667,MR.CHHEPA SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
407,RODRIGO JORDAN,CHILE,15,5,1992,"SOUTH
COL.VIA EAST
FACE","CHOMOLANGMA
KANGSHUNG FACE EXP.",Rodrigo Jordan
5045,"KISHOR DATTATRAYA
DHANKUDE",INDIA,20,5,2017,,"""",""""
1005,YVES LAMBERT,SWITZERLAND,16,5,2002,"SOUTH E.
RIDGE","GENEVA EVEREST
1952/2002 EXPEDITION",Stephene Shafter
4150,MS. MYRTHONG WANSUK,INDIA,18,5,2013,,"""",""""
891,TADEJ GOLOB,SLOVENIA,9,10,2000,SOUTH E. RIDGE,"""",""""
2412,MR. SHAUN PETER HUSTON,UK,21,5,2009,NORMAL,"""",""""
2546,MR.THILE NIRU SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
3880,BHIM BAHADUR BHUJEL,NEPAL,20,5,2013,,"""",""""
2391,MR. SETH GRIFFITH WATERFALL,USA,19,5,2009,NORMAL,"""",""""
4270,"MR. JOSE BERNARDO
GONZALEZ",AUSTRALIA,18,5,2013,,"""",""""
43,LOTSE,CHINA,27,5,1975,NORTHCOL,"""",""""
2831,MR. TASHI SHERPA,NEPAL,17,5,2010,,"""",""""
3734,"MR. LAURENCE STEPHEN
CLARK",UK,20,5,2012,,"""",""""
3023,MR. MIGMA DORJEE SHERPA,NEPAL,23,5,2010,,"""",""""
304,PASANG NORBU SHERPA,NEPAL,11,5,1990,SOUTHCOL,"""",""""
4787,MR. BIBAS SHERPA,NEPAL,19,5,2016,,"""",""""
12,BARRY BISHOP,USA,22,5,1963,SOUTHCOL,AMERICAN EXPEDITION,""""
665,ANATOLI BUKREEV,USA,11,10,1996,S.E. RIDGE,AUDIO EVEREST EXP. '97,Ms. Petawatts
1178,GOTA MIURA,JAPAN,22,5,2003,S E RIDGE,"""",""""
3293,MR. DAVID ISRAEL P.REPIZO,MEXICO,14,5,2011,,"""",""""
2677,MS. MERCEDES N. SAHORES,ARGENTIA,19,5,2009,NORMAL,"""",""""
1948,MR. NIGMA CHIRI SHERPA,NEPAL,21,5,2008,S.E.RIDGE,,
2502,MR.SANGE DORJEE SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
1474,PEMA TAMBA SHERPA,NEPAL,30,5,2005,S E RIDGE,"""",""""
4048,MR.BARNABAS BORBELY,UK,19,5,2013,,"""",""""
3972,MS. URSULA ORNELLA DIAZ,ARGENTINA,16,5,2013,,"""",""""
2133,MR. JUSTIN REESE MERLE,USA,23,5,2008,NORMAL,"""",""""
1027,ZSOLT EROSS,HUNGARY,25,5,2002,"SOUTH E.
RIDGE","""",""""
2990,MR. MINGMA TSERING SHERPA,NEPAL,23,5,2010,,"""",""""
962,VERNON EDWARD TEJAS,USA,16,5,2002,"SOUTH E.
RIDGE","""",""""
2890,MR. CHHEWANG NIMA SHERPA,NEPAL,5,5,2010,,"""",""""
3022,MR. PHINJO SHERPA,NEPAL,23,5,2010,,"""",""""
3016,MR. DANURU SHERPA,NEPAL,24,5,2010,,"""",""""
3543,MR. DORJEE LAMA,NEPAL,19,5,2012,,"""",""""
2010,MR. DOMA CHHIRI SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
2150,MR. KUSANG TENZING SHERPA,NEPAL,21,5,2008,NORMAL,"""",""""
5146,BIKAS MAHARANA,INDIA,21,5,2017,,"""",""""
2339,MR. MIGMA TENZING SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
736,EDWIN CHEOK WAI SIEW,SINGAPORE,25,5,1998,S.E. RIDGE,"""",""""
305,TOP BAHADUR KHATRI,NEPAL,11,5,1990,SOUTHCOL,"""",""""
1441,PEMBA CHHORI SHERPA,NEPAL,30,5,2005,"NORMAL
ROUTE","""",""""
1497,DENNIS RICHARD KELLNER,USA,23,5,2006,"SOUTH EAST
RIDGE","""",""""
2653,MR.KARMA GYALZEN SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
2876,MR. PASANG JANGBU SHERPA,NEPAL,23,5,2010,,"""",""""
917,PASANG TENDI SHERPA,NEPAL,23,5,2001,"SOUTH E.
RIDGE","""",""""
4437,"MS. LESLIE GULLAHORN
OLSON",USA,21,5,2016,,"""",""""
711,PASQUALE VINCENT SCATORRO,USA,20,5,1998,S.E. RIDGE,"""",""""
4902,MR.RYAN POWERS WATERS,USA,22,5,2017,,"HTB MOUNTAIN
PROFESSIONALS
EVEREST EXPEDITION
2017","Mr.Ryan Powers
Waters"
4682,MR. WANGDI SHERPA,NEPAL,19,5,2016,,"""",""""
2773,MR. DARRELL G AINSCOUGH,CANADA,24,5,2010,,"""",""""
1625,PASANG GELU SHERPA,NEPAL,24,5,2006,"NORMAL
ROUTE","""",""""
4214,MR. JIANGANG WU,CHINA,23,5,2013,,"""",""""
822,JOAN BELLMONTE VLANCH,SPAIN,16,5,2000,S.E. RIDGE,"""",""""
5075,SANGBU LAMA,NEPAL,21,5,2017,,"""",""""
1355,MINGMAR SHERPA,NEPAL,16,5,2004,S E RIDGE,"""",""""
4771,MR. IAN STUART ERSKINE,NEW ZEALAND,19,5,2016,,"""",""""
851,PASANG TSHERING SHERPA,NEPAL,22,5,2000,S.E. RIDGE,"""",""""
3351,MR. NABESHIMA KENJI,JAPAN,20,5,2011,,"""",""""
1001,HARALDUR OM OLAFSSON,ICELAND,16,5,2002,"SOUTH E.
RIDGE","""",""""
3816,"MR. RODRIGO HERNAN
JORDAN FUCHS",CHILE,18,5,2012,,"""",""""
19,SONAM WANGYAL,INDIA,22,5,1965,SOUTHCOL,INDIAN EXPEDITION,""""
1638,PASANG DAWA SHERPA,NEPAL,25,5,2006,"NORMAL
ROUTE","""",""""
1668,APA SHERPA,NEPAL,19,5,2006,"NORMAL
ROUTE","""",""""
494,NIMA NORBU,INDIA,16,5,1993,S.RIDGE,"""",""""
3174,MR. PEMBA SHERPA,NEPAL,13,5,2011,,"""",""""
1348,MARTIN BOILEAU,CANADA,16,5,2004,S E RIDGE,"""",""""
3019,MR. PASANG SHERPA,NEPAL,23,5,2010,,"""",""""
4149,MS. ANSHU JAMSENGPA,INDIA,18,5,2013,,,
3231,MR. LOPSANG SHERPA,NEPAL,20,5,2011,,"""",""""
3794,MR. DENDI SHERPA,NEPAL,19,5,2012,,"""",""""
4824,MR. CHHERING SHERPA,NEPAL,19,5,2016,,"""",""""
3946,MS. YUKI INAYOSHI,JAPAN,19,5,2013,,"""",""""
688,ANDRES CALDERON,MEXICO,23,5,1997,S.E. RIDGE,"""",""""
1113,PATRICK BERHAULT,FRANCE,23,5,2003,"SOUTH E.
RIDGE","""","Jean Michel
Asselin"
3233,MR. PHURBA RIDAR BHOTE,NEPAL,12,5,2011,,"""",""""
1609,ROMEO GARDUCE,PHILIPPINESS,19,5,2006,"NORMAL
ROUTE","""",""""
4343,MR. JOHN RYAN BEEDE,USA,21,5,2013,,"""",""""
3845,MR. MANOJ JOSHI,INDIA,20,5,2013,,"""",""""
1010,NURU WANCHU SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
3292,MR. JEFFREY GOTTFURCHT,USA,14,5,2011,,"""",""""
2409,MR.TSERING DORJE SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
1093,MARIA MAKI-VADASZ,USA,26,5,2003,"SOUTH EAST
RIDGE","""",""""
1328,PEME SHERPA,NEPAL,15,5,2004,S E RIDGE,"""",""""
4939,MR. KAMI RITA SHERPA,NEPAL,27,5,2017,,"""",""""
1678,VAUGHAN MICHAEL DE LA HARPE,USA,24,5,2006,"NORMAL
ROUTE","""",""""
2000,MR. SONAM GURNEY,INDIA,22,5,2008,NORMAL,"""",""""
1311,NGAWANG PASANG SHERPA,NEPAL,16,5,2004,S E RIDGE,"""",""""
4610,MR. OSCAR JAMES TODD,UK,13,5,2016,,"""",""""
4366,MR. PEMBA NURU SHERPA,NEPAL,21,5,2013,,"""",""""
3679,"MR. KARMA GYALJEN
SHERPA",NEPAL,18,5,2012,,"""",""""
1988,MR. WONGCHHU SHERPA,NEPAL,21,5,2008,S.E.RIDGE,"""",""""
4391,MR.MINGMA DORCHI SHERPA,NEPAL,19,5,2013,,"""",""""
345,ANTOLI BURKEEU,USSR,6,10,1991,SOUTHCOL,"LENINGRAD EXPEDITION
HIMALAYAN 91","Vladimir
Balyberdin"
4441,MR. PASANG KAMI SHERPA,NEPAL,21,5,2016,,"""",""""
987,KARMA RITA SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
588,RYSAZXARD PAWLOWSKI,POLAND,13,5,1994,S.E. RIDGE,BRITISH EVEREST EXP,Henry Todd
2792,MR. SONAM TSHERING SHERPA,NEPAL,22,5,2010,,"""",""""
4573,"MS. MARIA ELIZABETH
STRYDOM",AUSTRALIA,20,5,2016,,"""",""""
4537,MR. LAMA DAWA SHERPA,NEPAL,21,5,2016,,"""",""""
5233,MS.NAOKO HARAYAMA,JAPAN,25,5,2017,,"""",""""
3494,"MR. NGAWANG KALDEN
SHERPA",NEPAL,26,5,2012,,"""",""""
5228,TAKANOBU KAJIYAMA,JAPAN,25,5,2017,,"TEAM ADVENTURE GUIDE JAPAN MT.
EVEREST EXP. 2017",Kajiyama
3290,MR. MAXIMILIEN PETER BUNCE,USA,13,5,2011,,"""",""""
1143,PASANG RINZI SHERPA,NEPAL,22,5,2003,"SOUTH E.
RIDGE","""",""""
2359,MR. FRANK NORMAN SLACHMAN,USA,23,5,2009,NORMAL,"ALPINE ASCENTS INT'L
EVEREST EXP. I- 2009",Vernon E. Tejas
3265,MR. CHHULDIN JANGBU SHERPA,NEPAL,13,5,2011,,"""",""""
1199,SEAN STEPHEN WISDALE,SOUTH AFRICA,30,5,2003,S. E RIDGE,"THE DISCOVERYMT.
EVEREST EXP.","Alexender Manuel
Harris"
86,STREMFEL J. ANDRE,YUGOSLAVIA,13,5,1978,WEST RIDGE,"""",""""
1519,NGIMA GYALGEN SHERPA,NEPAL,17,5,2006,"SOUTH EAST
RIDGE","""",""""
517,OSCAR C. RUING,SPAIN,17,5,1993,S.RIDGE,CATALANA SAGARMATHA,Luis Belvis Delrio
1382,TSHERING DORJE SHERPA,NEPAL,2,6,2005,S E RIDGE,"""",""""
2717,MR. TARKE SHERPA,NEPAL,23,5,2010,,"""",""""
3485,MR. KAMI CHHIRI SHERPA,NEPAL,19,5,2012,,"""",""""
1015,DAWA NURU SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
129,LAURIE SKRESLET,CANADA,5,10,1982,SOUTHCOL,CANADIAN EVEREST EXP,"William Joeph
March"
1365,JAMES CHIN,USA,17,5,2004,S E RIDGE,"""",""""
4089,MRPASANG GOMBA SHERPA,NEPAL,22,5,2013,,"""",""""
4740,MR. NGIMA DORJI TAMANG,NEPAL,19,5,2016,,"""",""""
4373,MR.KAME SHERPA,NEPAL,17,5,2013,,"""",""""
892,GREGA LACEN,SLOVENIA,9,10,2000,SOUTH E. RIDGE,"""",""""
2794,MR. JYAMCHANG BHOTE,NEPAL,22,5,2010,,"""",""""
4465,MR. ANG PEMBA SHERPA,NEPAL,21,5,2016,,,
1360,NIMA GOMBU SHERPA,NEPAL,16,5,2004,S E RIDGE,"""",""""
308,HOOMAN APRIN,USA,5,10,1990,SOUTHCOL,"""",""""
1662,BENEDIKT ARNOLD,SWITZERLAND,17,5,2006,"NORMAL
ROUTE","KOBLER & PARTNER
KOBLER EVEREST
EXP.2006",Karl Kobler
2432,MR. MARK WYNTON WOODWARD,NEW ZEALAND,23,5,2009,NORMAL,"HIMALAYAN
EXPERIENCE 
EVEREST TEAM 2","Mark Wynton
Woodward"
4268,"MR. EDWIN SPOTTSWOOD
BAILEY",USA,18,5,2013,,"""",""""
1318,BRIEN SHEDDY,USA,15,5,2004,S E RIDGE,"""",""""
4564,MR. PHURBA SHERPA,NEPAL,19,5,2016,,"""",""""
3250,MR. DEAN DOUGLAS STAPLES,NEW ZEALAND,11,5,2011,,"""",""""
2475,MR.PALDEN NAMGYA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
2543,MR. GAURAV SHARMA,INDIA,20,5,2009,NORMAL,"""",""""
5116,"CHHONG KARMA
SHERPA",NEPAL,21,5,2017,,"""",""""
1247,TENDI SHERPA,NEPAL,24,5,2004,S. E RIDGE,"""",""""
4426,MR. RITEN JANGBU SHERPA,NEPAL,23,5,2014,,"""",""""
1209,JANGBU SHERPA,NEPAL,15,5,2004,S. E RIDGE,"DISCOVERY CANADA
EVEREST EXP 2004","Benjamin M.
Webster"
3378,MR. NIMA TENZING SHERPA,NEPAL,11,5,2011,,"""",""""
217,ANG PHURBA SHERPA,NEPAL,5,5,1988,SOUTH-NORTH,"""",
4553,"MR. EDWARD WILLIAM
NUGENT IV",USA,19,5,2016,,"""",""""
3460,"MR. PEMA CHHIRING
SHERPA",NEPAL,25,5,2012,,"""",""""
1240,ANG SONA SHERPA,NEPAL,24,5,2004,S. E RIDGE,"""",""""
2290,MR. YU-CHENG KUO,TAIWAN,24,5,2008,NORMAL,"""",""""
2741,MR. PASANG TEMBA SHERPA,NEPAL,22,5,2010,,"""",""""
276,HIROSHI OHNISHI,JAPAN,13,10,1989,S.E. RIDGE,"""",""""
490,MS. SAVITA MARTOLIA,INDIA,16,5,1993,S.RIDGE,"""",""""
1036,FANDEN SHERPA,NEPAL,25,5,2002,"SOUTH E.
RIDGE","""",""""
1230,MS. MARY MILLS DAVIS,USA,24,5,2004,S. E RIDGE,"""",""""
5219,MR. LAKPA CHHIRI SHERPA,NEPAL,22,5,2017,,"""",""""
1009,PHILLIPPE ARUIS,ARGENTINA,16,5,2002,"SOUTH E.
RIDGE","""",""""
4992,RINJEN PALDEN SHERPA,NEPAL,21,5,2017,,"""",""""
3530,"MR. NGIMA TSHERING
SHERPA",NEPAL,25,5,2012,,"""",""""
3594,MR.WONBIN SONG,SOUTH KOREA,19,5,2012,,"""",""""
2533,MR.PASANG DAWA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
4424,MR. DAWA GYALJEN SHERPA,NEPAL,23,5,2014,,"""",""""
1059,DAVID WILLIAM HAMILTON,UK,26,5,2003,S E RIDGE,"""",""""
2167,MS. MELISSA SUE ALNOT,USA,22,5,2008,NORMAL,"""",""""
4352,MR.KARMA RITA SHERPA,NEPAL,20,5,2013,,"""",""""
4542,"MR. KEVIN JOHN
FAREBROTHER",AUSTRALIA,15,5,2016,,KKC EVEREST 2016,"Mr. Kevin John
Farebrother"
282,SANG YOUNG JUNG,SOUTH KOREA,23,10,1989,WEST RIDGE,"KOREAN POST LHOLA
EXP.",Suk Woo Lee
4350,MR. PASNG SHERPA,NEPAL,18,5,2013,,"""",""""
1317,RAUNO HOGLIN,CANADA,15,5,2004,S E RIDGE,"""",""""
5277,MAHDI GHOLIPOUR,IRAN,21,5,2017,,"""",""""
969,KAMI RITA (THAPKEE) SHERPA,NEPAL,16,5,2002,"SOUTH E.
RIDGE","""",""""
4887,KARIM MARINO MELLA NAZIR,DOMINICAN REPUBLIC,22,5,2017,,"""",""""
1940,MR. MICHAEL L. BROWDER,USA,28,5,2008,S.E.RIDGE,"INTERNATIONAL EVEREST
EXP. 2008 II","Michael L.
Browder"
4252,"MR.NGIMA KANCHHA
SHERPA",NEPAL,23,5,2013,,"""",""""
3971,"MR. RAVINDRA KUMAR
SINGH",INDIA,19,5,2013,,"""",""""
620,SANDRA H. PITTMAN,USA,10,5,1996,SOUTHCOL,"""",""""
3655,MR. KURT ALAN WEDBERG,USA,19,5,2012,,"""",""""
1743,DENDI SHERPA,NEPAL,25,5,2007,S.E.RIDGE,"""",""""
1391,TASHI LAKPA SHERPA,NEPAL,31,5,2005,S E RIDGE,,
4327,MR.TY WILSON HARDT,USA,20,5,2013,,"""",""""
1848,DAWA FINJO BHOTE,NEPAL,21,5,2007,S.E.RIDGE,"""",""""
1580,MANOJ DAHAL,INDIA,20,5,2006,"NORMAL
ROUTE","""",""""
1656,JUAN CARLOS ESCOBAR,BOLIVIA,17,5,2006,"NORMAL
ROUTE","""",""""
2353,MR. TOMI PEKKA MYLLYS,FINLAND,20,5,2009,NORMAL,"ARCOF AIRBORNE
RANGER CLUB OF FINLAND
EVEREST EXP. 2009","Tomi Pekka
Myllys"
2213,MR. SIMAN A. HOLLAND,AUSTRALIA,22,5,2008,NORMAL,"""",""""
3276,MR. GHOSH DIPANKAR,INDIA,21,5,2011,,"""",""""
2021,MR. KANCHHA NURU SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
5271,ATANAS GEORGIEV SKATOV,BULGARIA,22,5,2017,,"""",""""
1957,MR. MATTHEW D. LIPSCOMBE,UK,21,5,2008,S.E.RIDGE,"""",""""
4040,"MR.PEMBA ONGCHHU
SHERPA",NEPAL,21,5,2013,,"""",""""
3193,MR. PHURBA SHERPA,NEPAL,11,5,2011,,"""",""""
1308,PANAGIOTIS KOTRONAROS,GREECE,16,5,2004,S E RIDGE,"""",""""
2004,MS. DECHEN LHAMO,INDIA,22,5,2008,NORMAL,"""",""""
4728,MR. LAKPA SHERPA,NEPAL,19,5,2016,,"""",""""
576,LOPSANG JANGBU SHERPA,NEPAL,5,9,1994,S.E. RIDGE,"""",""""
2361,MS.CAROLYNKAY LECLAIRE,USA,23,5,2009,NORMAL,"""",""""
4458,MR. LAKPA SHERPA,NEPAL,21,5,2016,,"""",""""
4709,MS. ALYSSA NICOLE AZAR,AUSTRALIA,16,5,2016,,"""",""""
1707,MICHAEL W.  NIXON,SOUTH AFRICA,21,5,2007,S.E.RIDGE,"""",""""
1800,JOHN P. GRIBER,USA,22,5,2007,S.E.RIDGE,"""",""""
3348,"MR. KARMA GYALJEN
SHERPA",NEPAL,20,5,2011,,"""",""""
3919,"MR. MOHAMMED KHALED
HOSSAIN",BANGLADESH,20,5,2013,,"""",""""
1281,PASANG TSHERING SHERPA,NEPAL,17,5,2004,"SOUTH EAST
RIDGE","""",""""
4324,"MR.MAXIMILIEN PETER
BUNCE",USA,20,5,2013,,"""",""""
862,PAUL FRANK GIORGIO,USA,24,5,2000,S.E. RIDGE,HG I EVEREST EXP,Henry B. Todd
4400,"MR. JOHN MICHAEL P.
MOORHOUSE",UK,19,5,2013,,"""",""""
1802,WERNER J. BERGER,CANADA,22,5,2007,S.E.RIDGE,"""",""""
1629,DR. ADDRIES NORTE BOTHA,CANANDA,18,5,2006,"NORMAL
ROUTE","""",""""
1994,MR. MIKIHITO FUJIMORI,JAPAN,24,5,2008,NORMAL,"""",""""
2640,MR.PASANG SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
270,RODERICK MACKENZIE,UK,24,5,1989,S.E. RIDGE,"""",""""
630,JONATHAN R. KVAKAUER,USA,10,5,1996,S.E. RIDGE,"""",""""
3082,MRS. SUSHMA,INDIA,20,5,2011,,"""",""""
3467,MR. JANGBU SHERPA,NEPAL,26,5,2012,,"""",""""
2335,MR. SANDUK DORJEE SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
4639,MR. SAMDEN SHERPA,NEPAL,19,5,2016,,"""",""""
2967,"MS. STINA GLAVIND
DALGAARD PEDERSEN",DENMARK,22,5,2010,,"""",""""
301,TIM MACARTNEY SNAPE,AUSTRALIA,11,5,1990,SOUTHCOL,"AUSTRALIAN GEOGRAPHIC
EVEREST EXPEDITION",T.M. Snape
460,MOTILAL GURUNG,NEPAL,10,5,1993,E. RIDGE,"""",""""
1448,LHAKPA GELU SHERPA,NEPAL,30,5,2005,S E RIDGE,"""",""""
1473,NIMA TASHI SHERPA,NEPAL,30,5,2005,S E RIDGE,"""",""""
2047,MR. ANG KAMI SHERPA,NEPAL,27,5,2008,NORMAL,"""",""""
4485,MR. JANGBU SHERPA,NEPAL,19,5,2016,,"""",""""
4175,"MR.SHANGKAR SINGH
CHIROM",INDIA,19,5,2013,,"""",""""
4204,MR. QUAN FANG,CHINA,23,5,2013,,"""",""""
2114,MR. ANG GELU SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
28,CHOTARE SHERPA,NEPAL,12,5,1970,SOUTHCOL,JAPAN EXPEDITION,
2041,MR. STEVEN R. NORICK,USA,24,5,2008,NORMAL,"""",""""
4797,MR. BRIAN NEIL FREEMAN,AUSTRALIA,21,5,2016,,"""",""""
4012,"MR. LOVERAJ SINGH
DHARAMSHAKTU",INDIA,21,5,2013,,"ECO EVEREST
DIAMOND JUBILEE
CELEBRATION
EXPEDITION 2013 II","Mr. Loveraj
Singh
Dharamshaktu"
838,DAWA TEMBA SHERPA,NEPAL,20,5,2000,S.E. RIDGE,"""",""""
130,SUNDARE SHERPA,NEPAL,5,10,1982,SOUTHCOL,"""",""""
